model,FP,TP
deep_network_matrix,0.005205868433506899,0.05319148936170213
deep_network_matrix,0.0018930430667297715,0.031914893617021274
deep_network_matrix,0.0009465215333648302,0.02127659574468085
deep_network_matrix,0.0004732607666824151,0.02127659574468085
deep_network_matrix,0.0004732607666824151,0.010638297872340425
deep_network_matrix,0.0,0.010638297872340425
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
deep_network_matrix,0.0,0.0
