datetime,trip,lon,lat,step_speed,step_direction,gaps,pressure,dive,lon_std,lat_std,step_speed_std,step_direction_cos,step_direction_sin,prediction
2015-10-02 15:52:11,F0915_24_SS_T1,-32.263259999999995,-3.7542690000000003,2.04362476822546,-93.0055863814274,0.0,0.06,0,0.4543044844230044,-1.0514568417218257,0.10091824974639084,-0.052433323121818615,-0.9986244272129553,0.5555555555555556
2015-10-02 15:52:26,F0915_24_SS_T1,-32.263259999999995,-3.7542690000000003,0.0,-166.51642392341,0.0,0.06,0,0.4543044844230044,-1.0514568417218257,0.0,-0.9724367979203391,-0.23316662293398166,0.5555555555555556
2015-10-02 15:52:41,F0915_24_SS_T1,-32.263241,-3.7542129999999996,0.438736388653802,18.7039232444095,0.0,0.06,0,0.45480934950009694,-1.0492197761995854,0.021665674213491054,0.9471883220215206,0.3206778486675626,0.5555555555555556
2015-10-02 15:52:56,F0915_24_SS_T1,-32.263247,-3.7541433636363597,0.518665436870632,-23.6179576005551,0.0,0.06,0,0.4546499184231005,-1.0464379706961757,0.025612729355586235,0.9162372074606903,-0.40063621861314047,0.5555555555555556
2015-10-02 15:53:11,F0915_24_SS_T1,-32.263321999999995,-3.75410245454545,0.632924248625283,-56.4237391715217,0.0,0.06,0,0.4526570299604558,-1.0448037507529864,0.03125505640097346,0.5530464002408114,-0.8331504541081882,0.5555555555555556
2015-10-02 15:53:26,F0915_24_SS_T1,-32.263341904761894,-3.75409823809524,0.15067730679974803,-16.6770188997328,0.0,0.06,0,0.452128123689216,-1.0446353136924218,0.007440744658783141,0.9579376769123821,-0.28697631810257235,0.5238095238095238
2015-10-02 15:53:41,F0915_24_SS_T1,-32.2633656666667,-3.75405533333333,0.36377363629556797,49.0879650551961,0.0,0.06,0,0.451496726009987,-1.0429213714851466,0.017963864624084818,0.6548995658491931,0.755715924571223,0.5238095238095238
2015-10-02 15:53:56,F0915_24_SS_T1,-32.263401,-3.753968,0.6989059947438531,6.9423021938055705,0.0,0.06,0,0.45055785411283217,-1.0394326145399264,0.034513366065755426,0.9926683728214446,0.12086977124171876,0.5238095238095238
2015-10-02 15:54:11,F0915_24_SS_T1,-32.263401,-3.753968,0.0,21.9845251783984,0.0,0.06,0,0.45055785411283217,-1.0394326145399264,0.0,0.9272849969647241,0.3743561598319595,0.5238095238095238
2015-10-02 15:54:26,F0915_24_SS_T1,-32.263401,-3.753968,0.0,0.0,0.0,0.06,0,0.45055785411283217,-1.0394326145399264,0.0,1.0,0.0,0.5238095238095238
